Record Length,1.024000e+03,,          0.00000,  14.41569,
Sample Interval,2.466067e+01,,         24.66067,  17.61569,
Trigger Point,-0.000000000000e+00,,         49.32134,  40.01569,
,,,         73.98201,  47.21569,
,,,         98.64268,  48.01569,
,,,        123.30335,  47.61569,
Source,FFT,,        147.96402,  41.61569,
Vertical Units,dB,,        172.62468,  10.41569,
Vertical Scale,1.000000e+01,,        197.28535,  13.61569,
Vertical Offset,0.000000e+00,,        221.94602,  12.41569,
Horizontal Units,Hz,,        246.60669,   7.21569,
Horizontal Scale,2.525253e+03,,        271.26736, -12.38431,
Pt Fmt,Y,,        295.92803, -15.58431,
Yzero,2.201569e+01,,        320.58870, -11.58431,
Probe Atten,1.000000e+00,,        345.24937, -15.58431,
Model Number,TBS1202B-EDU,,        369.91004,  -9.58431,
Serial Number,C030451,,        394.57071,  -4.38431,
Firmware Version,FV:v4.06,,        419.23138,  -3.98431,
,,,443.89205,  -5.98431,
,,,468.55272,  -9.58431,
,,,493.21339, -11.58431,
,,,517.87406, -11.58431,
,,,542.53473, -17.98431,
,,,567.19540, -15.58431,
,,,591.85607, -17.98431,
,,,616.51674, -17.98431,
,,,641.17741, -17.98431,
,,,665.83808,  -3.98431,
,,,690.49875,  -0.78431,
,,,715.15942,  -0.38431,
,,,739.82009,  -4.38431,
,,,764.48076,  -9.58431,
,,,789.14143,  -3.98431,
,,,813.80210,  -5.58431,
,,,838.46277,  -8.38431,
,,,863.12344, -17.98431,
,,,887.78411, -17.98431,
,,,912.44478, -17.98431,
,,,937.10545, -17.98431,
,,,961.76612, -17.98431,
,,,986.42679, -17.98431,
,,,1011.08746, -17.98431,
,,,1035.74813, -17.98431,
,,,1060.40880, -15.58431,
,,,1085.06947, -11.58431,
,,,1109.73014,  -8.38431,
,,,1134.39081,  -9.58431,
,,,1159.05148, -15.58431,
,,,1183.71215, -17.98431,
,,,1208.37282, -17.98431,
,,,1233.03349, -17.98431,
,,,1257.69416, -17.98431,
,,,1282.35483, -15.58431,
,,,1307.01550, -15.58431,
,,,1331.67617, -17.98431,
,,,1356.33684, -15.58431,
,,,1380.99751, -17.98431,
,,,1405.65818, -17.98431,
,,,1430.31885, -17.98431,
,,,1454.97952, -15.58431,
,,,1479.64019, -15.58431,
,,,1504.30086, -17.98431,
,,,1528.96153, -17.98431,
,,,1553.62220, -17.98431,
,,,1578.28287, -12.38431,
,,,1602.94354, -11.58431,
,,,1627.60421, -12.38431,
,,,1652.26488, -17.98431,
,,,1676.92555,  -9.58431,
,,,1701.58622, -11.58431,
,,,1726.24689,  -9.58431,
,,,1750.90756, -11.58431,
,,,1775.56823, -15.58431,
,,,1800.22890, -17.98431,
,,,1824.88957, -17.98431,
,,,1849.55024, -17.98431,
,,,1874.21091, -15.58431,
,,,1898.87158, -11.58431,
,,,1923.53225, -11.58431,
,,,1948.19292, -17.98431,
,,,1972.85359, -17.98431,
,,,1997.51426, -17.98431,
